Date,US,UK,Switzerland,Sweden,Spain,Singapore,Norway,Netherlands,Japan,Italy,HongKong,Germany,France,Denmark,Canada,Belgium,Austria,Australia
12/31/1999,1445.856265,1325.935838,2569.874015,5432.06213,417.281493,2916.731539,1210.028388,2301.723326,3571.062688,459.617085,6595.115977,1719.939115,1589.671979,2144.324223,797.237233,1501.101977,818.117153,360.753252
1/3/2000,1436.684352,1335.808166,2600.662138,5588.574185,420.631062,3016.658487,1243.120084,2338.194711,3603.274068,450.434804,6690.171148,1692.759385,1601.753543,2203.770851,801.212102,1503.217238,831.455481,363.868184
1/4/2000,1379.114424,1297.618309,2540.853039,5514.830136,414.447665,2971.839492,1207.422549,2261.194093,3544.777613,445.687019,6600.775009,1674.836932,1554.949952,2180.276682,777.271505,1460.106029,835.03778,359.121129
1/5/2000,1382.705609,1273.981753,2517.425952,5257.103035,405.33684,2809.150718,1177.250907,2238.546587,3389.688158,438.590087,6150.214398,1659.662228,1507.872252,2135.918789,764.657194,1413.013386,839.106537,350.833944
1/6/2000,1370.88913,1265.338523,2550.276785,5257.764032,405.807387,2746.072381,1191.328384,2220.78196,3260.833825,431.294197,5881.714221,1649.203759,1501.443741,2155.78782,756.33994,1416.430463,840.080637,348.061965
1/7/2000,1418.261905,1265.808621,2592.085508,5282.119394,413.069088,2826.788705,1203.505944,2283.725311,3250.823295,442.422,5993.97873,1717.526145,1519.494387,2154.118787,795.656323,1443.305409,855.518655,351.704323
1/10/2000,1435.806675,1282.455811,2586.26037,5418.991461,413.694444,2844.695359,1222.079586,2305.524656,3253.754606,437.500496,6099.370207,1749.599225,1545.962229,2191.597663,811.55824,1467.479447,861.471269,358.758416
1/11/2000,1416.114698,1274.59662,2583.216295,5488.745163,409.273928,2796.221482,1215.815817,2286.490452,3371.428573,438.787259,6094.66054,1747.310842,1541.915349,2207.535619,797.991991,1449.057174,854.840264,369.849244
1/12/2000,1407.871315,1274.226208,2583.836945,5475.791591,402.709545,2838.62354,1192.954216,2251.529313,3334.045738,443.937121,6093.153019,1751.326624,1527.341105,2166.156516,785.769104,1427.729279,835.004288,360.117375
1/13/2000,1426.57273,1273.428888,2576.821204,5520.550965,405.594825,2790.810868,1221.986532,2256.667447,3338.087282,449.911209,6096.283725,1763.822448,1542.273406,2191.492579,793.160004,1439.762121,832.750115,363.464939
1/14/2000,1440.028673,1286.526878,2562.220671,5585.182791,407.522399,2786.706812,1213.383775,2271.740654,3357.801798,455.64551,6137.353907,1794.121406,1560.261504,2150.014781,782.149858,1411.826557,820.367777,368.657212
1/17/2000,1440.028673,1285.718861,2553.891459,5736.654907,408.198319,2724.183459,1204.925291,2274.154288,3443.330791,452.838093,6111.54353,1809.117494,1572.238444,2162.601522,790.923001,1382.408757,810.298052,367.276032
1/18/2000,1428.785616,1262.171999,2520.813238,5595.630413,400.014003,2697.719073,1205.956712,2230.752605,3391.951862,446.327846,6186.809915,1764.712744,1528.293852,2127.337926,808.169877,1339.238166,795.969961,369.321856
1/19/2000,1430.975206,1253.565064,2501.420834,5597.743517,402.825317,2622.83672,1205.693178,2216.444078,3318.909922,449.168931,5986.033063,1764.614208,1524.570859,2123.855212,811.056815,1342.271392,798.325203,363.080592
1/20/2000,1418.985028,1237.765801,2473.195183,5627.167795,401.472106,2699.486399,1203.807124,2213.653511,3324.698902,450.377972,6042.064252,1772.847218,1540.672232,2131.934135,818.11186,1338.300731,794.887766,368.479379
1/21/2000,1415.723692,1238.472663,2464.529495,5609.328208,396.454966,2630.957632,1199.339602,2201.201532,3346.272474,448.419732,5971.68256,1737.829754,1528.043495,2147.663879,813.95706,1313.601616,784.838957,360.763724
1/24/2000,1377.672899,1242.340933,2416.927996,5670.500347,393.679557,2573.424648,1201.54372,2207.669693,3356.745054,451.247947,5993.520741,1712.973913,1521.225514,2175.433577,804.251953,1305.437687,792.931662,354.559325
1/25/2000,1385.928997,1218.307762,2369.063686,5640.904571,392.087047,2549.878442,1176.893976,2199.377306,3315.919929,443.178782,5971.728782,1690.908932,1504.284093,2141.247259,810.670642,1283.672865,777.603616,352.389785
1/26/2000,1379.222512,1230.932935,2363.130916,5668.763501,395.848027,2567.470902,1174.961667,2172.832552,3363.376144,442.816357,6117.439308,1724.517811,1511.929727,2142.843587,817.756563,1287.494584,773.462444,350.343199
1/27/2000,1373.698196,1241.057922,2377.650313,5518.116098,397.972016,2633.186358,1160.76512,2135.32798,3414.854144,446.598048,6265.878,1746.375311,1503.257075,2104.649854,826.198036,1272.968531,765.941191,353.363287
1/28/2000,1336.506809,1219.353768,2330.665084,5620.329607,388.564174,2575.696396,1145.262825,2099.235643,3441.647458,442.988804,6314.494327,1715.256678,1503.556652,2098.582582,791.662219,1258.887074,766.253743,347.322873
1/31/2000,1367.097583,1201.986788,2285.78638,5468.387697,384.477552,2526.636221,1111.870828,2024.530421,3415.036279,435.602114,6081.484235,1658.922843,1483.539976,2027.449255,798.986626,1218.662948,745.368131,347.158831
2/1/2000,1385.310498,1201.50601,2306.500064,5692.407943,389.101357,2530.813653,1107.525051,2048.355529,3360.171368,440.152241,6131.427928,1706.158242,1504.007362,2033.083679,802.320548,1203.7966,718.796557,343.821582
2/2/2000,1383.123521,1192.932368,2320.058104,5980.884346,394.40282,2578.900411,1126.800202,2077.415911,3380.676076,449.439067,6207.211391,1734.01804,1551.383594,2063.223093,834.819338,1201.072349,717.530661,349.975837
2/3/2000,1398.638564,1191.877763,2385.130693,6075.143754,407.928081,2555.503567,1148.173041,2155.137639,3434.892173,465.809323,6193.610907,1807.172039,1626.288776,2133.335388,847.952419,1265.870025,721.838386,353.14429
2/4/2000,1396.902056,1153.66018,2359.683793,6111.01474,408.063057,2567.242852,1141.44028,2170.887204,3498.564628,465.835919,6193.770115,1817.771634,1649.86432,2118.012566,887.762502,1273.183625,688.50023,345.535291
2/7/2000,1397.832886,1141.772514,2352.91033,6228.156299,405.309946,2562.697719,1126.611944,2143.448615,3476.901175,458.819247,6193.451707,1776.352738,1628.628464,2120.582488,872.594051,1253.841123,674.012753,348.266397
2/8/2000,1411.949103,1182.57504,2368.54278,6343.73929,418.129781,2527.198174,1145.874973,2209.094466,3402.755615,478.046299,6122.777023,1859.505559,1668.664508,2192.462895,887.808589,1274.772835,700.824994,347.717821
2/9/2000,1380.825256,1188.860114,2342.831085,6394.208956,423.238378,2502.5808,1133.922393,2198.95641,3436.813132,480.425272,6302.33648,1888.340776,1671.080647,2171.183449,890.017934,1227.704625,715.132675,349.27478
2/10/2000,1383.977314,1177.696436,2325.514015,6419.772191,418.217239,2479.014356,1145.770988,2172.807469,3432.009018,480.683525,6369.673505,1896.480188,1645.070015,2142.407092,894.912242,1186.079754,710.074676,353.771543
