Date,US,UK,Switzerland,Sweden,Spain,Singapore,Norway,Netherlands,Japan,Italy,HongKong,Germany,France,Denmark,Canada,Belgium,Austria,Australia
1/3/1972,110.4504,129.5146,106.9203,102.9248,113.4035,149.6643,148.5471,86.069,125.2964,67.5146,221.3357,88.1137,89.1806,91.1493,125.492,118.5706,112.363,75.0367
1/4/1972,110.9703,129.5126,108.1744,103.863,113.3708,150.9906,151.0969,86.5365,125.6347,67.9318,216.6853,88.9007,90.1083,91.4764,124.3018,118.5592,112.5155,74.6144
1/5/1972,111.9815,131.3907,109.5532,103.7613,114.0601,150.8258,150.5225,87.8754,126.244,68.4775,219.3838,89.065,91.6193,92.0937,125.3789,119.3493,112.5758,75.6316
1/6/1972,112.3925,131.2014,109.6472,103.7613,114.0601,150.4609,149.6907,90.5845,127.6295,68.4775,218.2776,88.3993,93.3489,92.0429,127.0079,120.8478,112.5758,77.1152
1/7/1972,112.3215,129.8639,110.723,104.9967,114.037,149.7431,151.9329,89.7401,129.6049,68.6502,217.88,87.79,93.938,92.1555,128.2254,121.7377,112.7214,75.7514
1/10/1972,112.1307,128.3926,110.4795,107.0733,114.1979,150.3388,155.1356,94.9275,129.4176,68.0907,214.3392,86.8997,92.6093,92.4675,128.048,121.8298,112.8038,73.7916
1/11/1972,112.3372,129.4226,110.0039,106.3966,115.1212,150.6659,153.4938,88.3426,130.5774,68.1752,215.0646,87.214,92.794,92.6528,128.1325,122.6688,112.6591,72.5583
1/12/1972,112.3359,131.0386,109.6678,107.1367,115.7984,153.2364,154.2342,88.7593,131.2532,68.4134,214.384,87.6179,92.8195,92.5402,128.8341,122.4461,112.9008,73.0087
1/13/1972,111.7115,130.8852,109.1083,107.2602,115.9743,153.1811,154.2507,87.6045,131.3616,67.9514,209.5131,87.8977,92.4679,92.5442,127.887,122.0249,112.8278,73.78
1/14/1972,112.1631,131.4907,110.0885,106.6316,116.3493,152.9342,154.5709,88.2044,133.1204,67.9916,208.6177,88.8291,92.9167,92.791,129.1533,121.9701,113.4096,72.9618
1/17/1972,112.468,134.1876,110.7429,108.6092,116.3352,153.5948,155.6815,89.2038,131.8218,68.9474,212.6983,88.9978,92.0185,93.4594,129.0395,122.1553,113.6192,72.9437
1/18/1972,112.8878,132.1051,111.8657,108.5209,117.0491,155.0238,155.4259,89.766,131.6638,69.1505,212.1053,90.0114,92.7013,93.4393,129.9671,122.8607,114.1112,73.105
1/19/1972,112.7646,133.8692,112.6239,107.4723,117.4264,156.772,157.7438,89.5025,131.7192,69.9757,215.6849,90.8616,92.5429,93.729,129.9952,123.6051,112.1746,73.0715
1/20/1972,112.7519,134.8054,112.9851,108.7214,117.402,157.8227,147.6591,90.1315,132.8627,70.4866,215.9732,90.9407,92.463,93.918,129.7359,124.0675,113.7422,73.3404
1/21/1972,112.5865,135.0993,113.0995,108.654,117.1372,159.4678,151.7178,90.4214,132.2228,69.4455,216.2261,91.5212,92.2737,94.2486,129.0496,124.5856,113.367,73.4558
