Date,US,UK,Switzerland,Sweden,Spain,Singapore,Norway,Netherlands,Japan,Italy,HongKong,Germany,France,Denmark,Canada,Belgium,Austria,Australia
4/2/2018,2460.866834,1196.189138,5238.744381,7575.842193,476.599412,4259.479973,2643.621361,3236.677978,3424.027796,301.898734,12135.16343,2282.360685,1944.796115,9998.032838,1631.954927,1825.435449,1552.284533,788.974757
4/3/2018,2491.263026,1190.837292,5151.577325,7439.021568,472.159905,4231.244741,2685.679118,3222.005334,3401.840842,302.444409,12162.41049,2257.654048,1932.926608,9938.341628,1642.526205,1802.281867,1534.551569,789.770838
4/4/2018,2519.964976,1194.798736,5103.924201,7335.709957,471.364882,4123.864301,2653.364125,3215.292597,3403.102377,302.452906,12014.59005,2252.905034,1931.765636,9799.027274,1638.368256,1796.234107,1534.900043,793.907591
4/5/2018,2537.508905,1215.17772,5194.49687,7474.299757,480.246422,4204.340048,2705.868984,3268.54595,3413.37431,307.933396,12016.01545,2302.862452,1968.028129,9918.88718,1663.845082,1827.205334,1573.057468,796.768649
4/6/2018,2482.400807,1220.150525,5172.140908,7436.170496,478.46492,4253.093358,2685.794539,3268.175652,3411.233352,308.611871,12087.84499,2290.747386,1968.500318,9936.161888,1648.32276,1817.230498,1557.004353,795.952125
4/9/2018,2490.16245,1225.361137,5198.797735,7458.033155,483.52607,4286.535265,2712.092176,3283.862292,3427.248628,311.595362,12212.26075,2303.153139,1979.320129,10032.49095,1658.252873,1824.49326,1511.038808,799.599332
4/10/2018,2532.438114,1242.540369,5246.679815,7594.187232,485.988813,4310.943386,2743.955912,3316.991464,3438.464678,314.335346,12313.97659,2333.611847,2001.046661,10122.92519,1674.52556,1832.345552,1538.288261,812.963134
4/11/2018,2518.881044,1243.864714,5212.749344,7466.510647,486.228198,4329.689971,2761.81736,3315.954986,3442.292391,312.911684,12451.94747,2322.888978,1995.241244,10016.84513,1679.189798,1808.322697,1521.61634,811.067427
4/12/2018,2539.107515,1246.423265,5220.854477,7428.184311,484.303268,4298.173832,2736.547056,3319.824603,3411.680917,314.923342,12414.88935,2330.54626,1994.998137,9984.98962,1676.277673,1800.909553,1540.900363,808.491768
4/13/2018,2531.337037,1248.677398,5224.919356,7452.742642,486.099273,4348.171156,2749.380132,3316.850349,3425.498741,315.682465,12408.21292,2337.705098,1999.792669,9929.934305,1675.821626,1794.703289,1539.169369,811.441154
4/16/2018,2552.004957,1244.159963,5205.130329,7454.03154,487.538575,4347.221954,2731.457653,3320.553745,3446.038036,316.435575,12213.2896,2334.2075,2005.720846,9942.29717,1682.598948,1791.610298,1543.334006,813.592417
4/17/2018,2579.912248,1247.157858,5230.726302,7582.283032,488.226482,4359.115427,2728.454054,3338.204421,3439.533693,320.092654,12165.60622,2365.644748,2017.604382,9996.275491,1689.411624,1809.244867,1542.80055,812.811034
4/18/2018,2582.207712,1256.812324,5231.255826,7644.165334,492.376704,4443.567743,2773.364016,3343.243111,3474.249081,322.633868,12296.54381,2373.96112,2031.704846,10015.42487,1706.114911,1820.550113,1560.942889,817.137195
4/19/2018,2567.703769,1257.775861,5217.476621,7676.214493,492.760497,4507.155612,2775.220419,3305.640829,3471.176844,323.306463,12361.59677,2367.141798,2033.849693,9936.313306,1695.322927,1808.975859,1574.035674,817.615598
4/20/2018,2546.145334,1246.2503,5182.240307,7693.565181,490.311435,4458.712133,2735.482071,3273.430546,3461.231198,321.591436,12280.25521,2345.850618,2026.098361,9832.537913,1683.791713,1800.234681,1564.054524,806.080286
4/23/2018,2546.112029,1244.916033,5167.067591,7710.886107,490.16321,4434.562949,2728.61611,3275.649386,3437.972117,322.101456,12245.21263,2339.034768,2023.048537,9821.38415,1678.123749,1788.576999,1568.15723,803.638286
4/24/2018,2512.36272,1250.868018,5145.300781,7646.987947,486.708071,4439.543294,2719.909692,3276.852969,3455.295954,322.467659,12330.75062,2333.321989,2023.560224,9843.98139,1669.645101,1786.276455,1583.279492,806.224968
4/25/2018,2516.124107,1239.958713,5096.260834,7509.568741,483.343419,4404.574239,2632.462386,3242.267195,3446.480058,317.653306,12249.28319,2296.671318,2004.598962,9695.111229,1667.825149,1773.949065,1538.915926,802.827431
4/26/2018,2542.493155,1246.560243,5134.651689,7536.256407,482.85165,4407.680833,2705.516326,3254.264033,3452.826894,319.294624,12177.05109,2300.507473,2009.831591,9765.829932,1683.387868,1777.520491,1536.596671,799.630497
4/27/2018,2544.336659,1247.488861,5140.183799,7513.484377,483.613993,4437.476089,2708.617722,3261.272949,3469.250808,317.395091,12264.83349,2309.82,2020.314539,9757.026028,1688.914577,1762.741865,1542.313335,806.936506
4/30/2018,2524.278795,1246.544868,5154.342526,7412.8731,485.866653,4493.562438,2687.70518,3256.949993,3458.471322,317.502775,12506.83594,2311.475649,2028.906227,9748.083183,1687.811639,1743.988855,1528.315697,808.658118
5/1/2018,2530.463706,1231.753515,5123.289152,7319.237425,482.146849,4460.656585,2660.259455,3231.413084,3443.688162,315.071969,12511.90617,2293.778952,2013.372886,9714.997187,1678.385396,1730.636846,1516.614886,806.040401
5/2/2018,2512.934009,1236.208762,5115.522555,7345.698339,485.547195,4453.231334,2680.151652,3220.169759,3429.091815,317.731724,12499.17839,2321.632898,2012.272845,9889.998138,1685.63073,1707.553076,1509.91666,811.578163
5/3/2018,2507.33261,1223.844671,5080.562681,7296.695946,482.989891,4402.862099,2659.637094,3171.104315,3458.334448,315.124785,12385.19443,2302.647569,2003.238443,9819.019304,1678.528382,1697.098784,1512.642023,818.532409
